Proteins,"0hr, -IFN","0hr, +IFN","1hr, -IFN","1hr, +IFN","3hr, -IFN","3hr, +IFN"
P45880,1,1,1,1,1,1
P45974,1,1,1,1,1,1
P46063,1,1,1,1,1,1
P46087,1,1,1,1,1,1
P46459,1,1,1,1,1,1
P46776,1,1,1,1,1,1
P46777,1,1,1,1,1,1
P46940,1,1,1,1,1,1
P46977,1,1,1,1,1,1
P47756,1,0,0,0,0,0
P47897,1,1,1,1,1,1
P48147,0,1,0,1,0,1
P48444,1,1,1,1,1,1
P48634,0,1,0,0,0,1
P48651,1,1,1,1,1,1
P49257,1,1,1,1,1,1
P49327,1,1,1,1,1,1
P49368,0,1,0,0,1,0
P49411,1,1,1,1,1,1
P49588,0,0,0,0,0,1
P49750,1,1,1,1,1,1
P49756,1,1,1,1,0,0
P49790,0,1,0,1,0,1
P49916,0,0,0,0,0,1
P50395,1,1,1,1,1,1
P50454,1,1,1,1,1,1
P50552,1,1,1,1,1,1
P50914,1,1,1,1,1,1
P50991,0,0,1,0,1,0
P51114,0,1,0,1,0,1
P51531,1,1,1,1,1,0
P51532,1,1,1,1,1,1
P51610,1,1,1,1,1,1
P51659,1,1,1,1,1,1
P51991,1,1,1,1,1,1
P52701,1,1,1,1,1,1
P52948,1,1,1,1,1,1
P53396,1,1,1,1,1,1
P53618,1,1,1,1,1,1
P53621,1,1,1,1,1,1
P53814,1,1,1,1,1,1
P53985,0,0,0,0,1,0
P53992,1,1,1,1,1,1
P54577,1,0,0,1,1,1
P54578,0,0,0,1,0,0
P55061,1,1,1,1,1,1
P55072,1,1,1,1,1,1
P55196,1,1,1,1,1,1
P55265,1,1,1,1,1,1
P56192,0,0,0,0,0,1
P57737,0,1,0,0,0,0
P60953,1,1,1,1,1,1
P61019,1,1,1,1,0,0
P61026,1,1,1,1,1,1
P61221,1,0,1,0,1,0
P61254,1,1,1,1,1,0
P61313,1,1,1,1,0,1
P61353,0,0,0,1,0,0
P61978,1,0,0,0,0,1
P62081,1,0,1,0,1,0
P62241,1,1,1,1,1,1
P62249,1,0,1,0,1,1
P62266,1,0,1,0,1,0
P62314,1,1,1,1,1,1
P62424,0,0,0,0,1,0
P62753,1,1,1,1,1,1
P62826,1,1,1,1,1,1
P62847,1,1,1,1,1,1
P63000,1,0,0,0,0,0
P63010,1,1,1,1,1,1
P63165,0,1,0,0,0,0
P63244,1,1,1,1,1,1
P78524,1,0,0,0,0,0
P78527,1,1,1,1,1,1
P78559,1,0,0,0,0,0
P81605,0,0,0,0,0,1
P83881,1,0,1,0,1,0
P85037,0,0,0,0,1,0
P98082,0,1,0,1,0,1
Q00341,1,1,1,1,1,1
Q00610,1,1,1,1,1,1
Q00839,1,1,1,1,1,1
Q01167,0,1,0,1,0,1
Q01518,1,1,1,1,1,1
Q01650,0,0,0,0,0,1
Q01780,0,0,0,0,1,0
Q02218,0,0,0,1,0,0
Q02241,1,1,1,1,1,1
Q02413,0,0,0,0,0,1
Q02543,1,1,1,1,1,1
Q02809,0,1,0,1,0,1
Q02878,1,1,1,1,1,1
Q02880,1,1,1,1,1,1
Q03701,0,1,0,1,0,1
Q04206,1,1,1,1,1,1
Q04637,1,0,0,0,0,0
Q05193,1,1,1,1,0,1
Q05397,1,0,1,0,1,0
Q05639,1,1,1,1,1,1
Q06124,0,1,0,0,0,1
Q06203,1,0,0,0,1,0
Q06830,1,1,0,0,0,0
Q07157,1,1,1,1,1,1
Q08170,0,0,0,0,1,0
Q08211,1,1,1,1,1,1
Q08945,1,1,1,1,1,1
Q09666,1,1,1,1,1,1
Q10471,0,0,0,0,1,1
